URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-blutgruppe,2027.0.0-ballot,active,,MII_VS_Seltene_Blutgruppe,MII VS SE Blutgruppe,"ValueSet für Blutgruppen (AB0 und Rhesusfaktor) basierend auf LOINC Answer List für 882-1","StructureDefinition/mii-pr-seltene-blutgruppe","SCT,LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-icf,2027.0.0-ballot,active,,MII_VS_Seltene_ICF,MII VS SE ICF Categories,"All categories of the WHO International Classification of Functioning, Disability and Health. Defined intensionally over the whole classification rather than enumerated: which categories are relevant depends entirely on the disease, and any curated subset would be wrong for the next rare disease. German display text comes from the BfArM language supplement, so the value set does not need a German twin.","StructureDefinition/mii-pr-seltene-icf-assessment","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-icf-beurteilungsmerkmal,2027.0.0-ballot,active,,MII_VS_Seltene_ICFBeurteilungsmerkmal,MII VS SE ICF Qualifier Kind,"All qualifier kinds usable as a component code in the ICF assessment profile.",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-narse-therapietyp,2027.0.0-ballot,active,,MII_VS_Seltene_NARSE_Therapietyp,MII VS Seltene Erkrankungen NARSE Therapietyp,"ValueSet für NARSE-spezifische Therapietypen bei Seltenen Erkrankungen","StructureDefinition/mii-pr-seltene-therapie-durchgefuehrt","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-penetrance,2027.0.0-ballot,active,,PenetranceValueSet,MII VS SE Penetrance,"Value set for qualitative descriptions of genetic penetrance","StructureDefinition/mii-ex-seltene-penetrance","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-symptom-change-status-combined,2027.0.0-ballot,active,,MII_VS_Seltene_Symptom_ChangeStatus_Combined,MII VS Seltene Erkrankungen Symptom Change Status (Combined),"ValueSet zur Dokumentation von Änderungen bei Symptomen/Phänotypen über Zeit. Kombiniert MVGenomSeq-spezifische Codes mit SNOMED CT-Codes für internationale Interoperabilität.","StructureDefinition/mii-pr-seltene-hpo-assessment","SCT,Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-syndrome-category,2027.0.0-ballot,active,,SyndromeCategoryVS,Syndrome Category Value Set,"Categories for classifying syndrome types in rare diseases","StructureDefinition/mii-ext-seltene-syndrome-category","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-strategie,2027.0.0-ballot,active,,MII_VS_Seltene_TherapieempfehlungStrategie,MII VS SE Therapieempfehlung Strategie,"ValueSet für Strategietypen von Therapieempfehlungen bei seltenen Erkrankungen (Modellvorhaben GenomSeq)",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-strategie-medikamentoes,2027.0.0-ballot,active,,MII_VS_Seltene_TherapieempfehlungStrategieMedikamentoes,MII VS SE Therapieempfehlung Strategie - Medikamentös,"ValueSet für medikamentöse Therapiestrategien (für MedicationRequest Profile) - Verwendet für MedicationRequest-basierte Therapieempfehlungen im Kontext Modellvorhaben GenomSeq","StructureDefinition/mii-pr-seltene-therapieempfehlung","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-strategie-nicht-medikamentoes,2027.0.0-ballot,active,,MII_VS_Seltene_TherapieempfehlungStrategieNichtMedikamentoes,MII VS SE Therapieempfehlung Strategie - Nicht-Medikamentös,"ValueSet für nicht-medikamentöse Therapiestrategien (für ServiceRequest Profile) - Verwendet für ServiceRequest-basierte Therapieempfehlungen im Kontext Modellvorhaben GenomSeq","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-typ,2027.0.0-ballot,active,,MII_VS_Seltene_TherapieempfehlungTyp,MII VS SE Therapieempfehlung Typ,"ValueSet für Therapietypen (kausal/symptomatisch) bei seltenen Erkrankungen (Modellvorhaben GenomSeq)","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes,StructureDefinition/mii-pr-seltene-therapieempfehlung","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/von-seltene-betroffen-vs,2027.0.0-ballot,active,,VonSEBetroffenVS,Von SE betroffen Value Set,"ValueSet zur Angabe ob ein Familienmitglied an der gleichen SE erkrankt ist. Verwendet SNOMED CT codes für internationale Interoperabilität.","StructureDefinition/von-seltene-betroffen","THO (V2),SCT"
